0,1,2,3,4,5
"CL 5 1E 04, SANTA MARTA",-31.591667946046947,-64.35758864142566,9.0,9.1641568,-83.404486
"CL 5 1E 04, TOCANCIPÁ",4.96470000000005,-73.91221999999993,3.0,,
"CL 5 1E 17, PUERTO COLOMBIA",10.985228938910797,-74.95983868809827,9.0,2.7724947,-77.6645779
"CL 5 2 10, SOACHA",4.575797730815995,-74.22694280518226,9.0,,
"CL 5 2 102, VILLETA",5.0086882734974765,-74.469388946466,9.0,4.9825124,-74.4858764
"CL 5 2 12, SOACHA",4.575818867142258,-74.22694133549894,9.0,,
"CL 5 2 13, TÚQUERRES",1.0863800000000197,-77.61806999999999,1.0,1.0687723,-77.6560808
"CL 5 2 17, VILLAPINZÓN",5.214577916560393,-73.59199395655223,9.0,,
"CL 5 2 25, TAMALAMEQUE",8.855078410464548,-73.81567797603472,9.0,8.8594941,-73.8154191
"CL 5 2 26, ULLOA",4.703089884194917,-75.73760007043376,9.0,9.9720158,-84.1319834
"CL 5 2 31, SAN JOSÉ DE CÚCUTA",7.903687916500103,-72.51700896242365,9.0,7.8957372,-72.4746128
"CL 5 2 42, EL CARMEN DE CHUCURÍ",6.698611434514591,-73.51042794689984,9.0,6.6987818,-73.5107841
"CL 5 2 43, LÍBANO",4.92277258024019,-75.05783326071976,9.0,4.9233336,-75.0631441
"CL 5 2 47, FUSAGASUGÁ",4.345166178197326,-74.35902696895947,9.0,4.3459307,-74.3536067
"CL 5 2 47, SOGAMOSO",5.703860969815273,-72.92264708120807,9.0,5.7137382,-72.9397435
"CL 5 2 47, UBAQUE",4.483744249603913,-73.93614163393835,9.0,,
"CL 5 2 48, CALI",3.447403218571106,-76.54002118305426,9.0,3.4247085,-76.5466541
"CL 5 2 48, OICATÁ",5.59572364305393,-73.30665593964964,9.0,,
"CL 5 2 51, FLORIDABLANCA",7.061412983120836,-73.09043638927699,9.0,7.0616661,-73.0893048
"CL 5 2 52, CALI",3.447403218571106,-76.54002118305426,9.0,3.4247085,-76.5466541
"CL 5 2 55, SAN JOSÉ DE CÚCUTA",7.930669997786481,-72.50535996281792,9.0,7.8957372,-72.4746128
"CL 5 2 56, CURITÍ",6.60402902352134,-73.065191901939,9.0,6.6041631,-73.0675961
"CL 5 2 57, TUNJA",5.516093559204097,-73.35848725705502,9.0,5.5197692,-73.3701505
"CL 5 2 57, VILLAVIEJA",3.2208752204225473,-75.21929296792439,9.0,3.1436549,-75.2624685
"CL 5 2 70, ALCALÁ",4.6742916335555,-75.77707393111935,9.0,4.7124502,-74.2353469
"CL 5 2 73, VÉLEZ",6.009694992569138,-73.67599001325479,9.0,5.8584408,-73.9661896
"CL 5 2 94, BOGOTÁ, D.C.",4.59061374737587,-74.07420941107252,9.0,4.595369,-74.083532
"CL 5 2 94, FACATATIVÁ",4.8097194777876595,-74.35360385924083,9.0,4.8135178,-74.35097
"CL 5 2 94, VILLETA",5.008731911060873,-74.46931300527774,9.0,4.9825124,-74.4858764
"CL 5 2 95, SIBATÉ",4.48643001936675,-74.26885002957138,9.0,4.5296265,-74.2378809
"CL 5 2 95, SOACHA",4.576714516384373,-74.22699429143778,9.0,4.5871373,-74.1896567
"CL 5 2 98, SAN PEDRO",3.994921080783306,-76.22527797377165,9.0,,
"CL 5 2 A 47, ANAPOIMA",4.550351777323237,-74.53466715601525,9.0,4.5508381,-74.5351023
"CL 5 2 A 47, MOGOTES",6.474118337448139,-72.96751212840758,9.0,6.4759037,-72.9690442
"CL 5 2 B 79, CHÍA",40.59110000757087,-5.0148800131934195,9.0,4.8543925,-74.0611488
"CL 5 20 00, ARMENIA",4.547375004993455,-75.67405501644782,9.0,4.5406988,-75.6645793
"CL 5 20 08, TENERIFE",28.80683524936361,-17.766460265129773,9.0,9.8296277,-74.8425808
"CL 5 20 08, ZAPAYÁN",10.168833934807092,-74.71622111970228,9.0,10.1015178,-74.7334692
"CL 5 20 151, SOACHA",4.578705826078548,-74.24268891017252,9.0,4.5871373,-74.1896567
"CL 5 20 29, ARMENIA",42.71274301912553,-2.7023126688203094,9.0,4.5406988,-75.6645793
"CL 5 20 34, LA CEJA",6.021159990234835,-75.43187999885151,9.0,,
"CL 5 20 85, AGUACHICA",8.309868786731926,-73.61389427832832,9.0,8.3097986,-73.6059871
"CL 5 20 94, MELGAR",4.20799591814424,-74.64086618989748,9.0,-34.8975881,-54.9719167
"CL 5 20A 20, VILLAVICENCIO",4.812279950374114,-75.68255806464664,9.0,4.8107919,-75.6827593
"CL 5 21 15, LA VIRGINIA",4.8922528108477294,-75.87049639099848,9.0,4.8899944,-75.8748042
"CL 5 21 82, LA MESA",4.630381371275565,-74.46299449706889,9.0,4.631323,-74.4599173
"CL 5 21 C 09, LA CEJA",6.021159990234835,-75.43187999885151,9.0,,
"CL 5 21B 44, LA CEJA",6.021159990234835,-75.43187999885151,9.0,,
"CL 5 22 11, LA CEJA",6.021159990234835,-75.43187999885151,9.0,,
"CL 5 22 36, MANIZALES",5.0669999863333,-75.52658997267791,9.0,5.0629321,-75.5270811
"CL 5 22 83, MANIZALES",5.06670681320327,-75.52650252272394,9.0,5.0629321,-75.5270811
"CL 5 22A 41, PITALITO",1.8588825667242699,-76.05474725546442,9.0,1.8505259,-76.0461376
"CL 5 22E 14, VILLAVICENCIO",4.812279950374114,-75.68255806464664,9.0,4.8107919,-75.6827593
"CL 5 23 23, LA CEJA",6.021159990234835,-75.43187999885151,9.0,,
"CL 5 23 41, BOGOTÁ, D.C.",4.608210020050507,-74.06909997298806,9.0,,
"CL 5 24 26, BOGOTÁ, D.C.",4.6010900123981315,-74.09459998556162,9.0,,
"CL 5 24 36, VILLAVICENCIO",4.124413143828496,-73.62211867767272,9.0,4.8107919,-75.6827593
"CL 5 24 4, VALLEDUPAR",10.460626872254917,-73.23874636074851,9.0,10.4848063,-73.2704799
"CL 5 24 45, CARTAGO",4.751994702937243,-75.90655999998867,9.0,9.9047716,-83.9833083
"CL 5 24 A 23, PALMIRA",3.5027031155210078,-76.2968326534595,9.0,3.5022117,-76.3036641
"CL 5 24A 27, PALMIRA",3.502706041111051,-76.29687287610815,9.0,7.8412634,-72.2270466
"CL 5 24A 39, PALMIRA",3.5027148178811793,-76.2969935440541,9.0,,
"CL 5 24A 43, PALMIRA",3.502717743471222,-76.29703376670275,9.0,,
"CL 5 24A 63, PALMIRA",3.5027323714214367,-76.297234879946,9.0,3.5022117,-76.3036641
"CL 5 24A 71, PALMIRA",3.5027382226015225,-76.2973153252433,9.0,,
"CL 5 25 115, MEDELLÍN",6.201767895567886,-75.55831417060232,9.0,3.6285466,-73.8028221
"CL 5 26 26, VILLAVICENCIO",4.123095139461323,-73.6238214126034,9.0,4.8107919,-75.6827593
"CL 5 26 59, PALMIRA",3.5213482860671763,-76.2810028260575,9.0,3.5022117,-76.3036641
"CL 5 26 83, PALMIRA",3.521351248314982,-76.28095985172875,9.0,3.5022117,-76.3036641
"CL 5 27 14, NEIVA",2.9289199844603075,-75.27130997519535,9.0,2.9244907,-75.2879367
"CL 5 27 26, VALLEDUPAR",10.458711702471382,-73.236637375783,9.0,10.4848063,-73.2704799
"CL 5 27 80, VALLEDUPAR",10.458878294531297,-73.23655823408146,9.0,10.4848063,-73.2704799
"CL 5 27 B 06, LA CEJA",6.021159990234835,-75.43187999885151,9.0,,
"CL 5 28 05, NEIVA",2.929458062993898,-75.27047618597231,9.0,2.9244907,-75.2879367
"CL 5 28 06, NEIVA",2.9293439926847142,-75.27048713514581,9.0,2.9244907,-75.2879367
