0,1,2,3,4,5,6
"CRA 26 37 35, BUCARAMANGA, SANTANDER",7.118831012982438,-73.11640602431541,9,7.0918392,-73.1096956,108000
"CRA 26 3A 252, BARRANQUILLA, ATLÁNTICO",10.977670101077726,-74.84743604802333,9,10.9633185,-74.7736009,108001
"CRA 26 3A 263, PUERTO COLOMBIA, ATLÁNTICO",10.994360000000029,-74.94421999999997,3,11.0223193,-74.862577,108002
"CRA 26 3A 272, BARRANQUILLA, ATLÁNTICO",10.977670101077726,-74.84743604802333,9,10.9633185,-74.7736009,108003
"CRA 26 3A 40, BARRANQUILLA, ATLÁNTICO",10.977670101077726,-74.84743604802333,9,10.9744605,-74.805494,108004
"CRA 26 4 32, PALMIRA, VALLE DEL CAUCA",3.5214508253435985,-76.28006859372135,9,3.5498398,-76.2905662,108005
"CRA 26 4 43, PALMIRA, VALLE DEL CAUCA",3.5214692306367064,-76.28018270630085,9,3.5498398,-76.2905662,108006
"CRA 26 4 55, PALMIRA, VALLE DEL CAUCA",3.5214833755795287,-76.28018208771735,9,3.5498398,-76.2905662,108007
"CRA 26 4 70, PALMIRA, VALLE DEL CAUCA",3.521496550835848,-76.28006659406427,9,3.5498398,-76.2905662,108008
"CRA 26 46 13, BARRANCABERMEJA, SANTANDER",7.057120666671204,-73.85222182645985,9,7.0570545,-73.8521366,108009
"CRA 26 4C 4, VALLEDUPAR, CESAR",10.461408498484408,-73.23338235918531,9,10.4694867,-73.2680207,108010
"CRA 26 5 59, CAUCASIA, ANTIOQUIA",7.991837490789164,-75.19428571098805,9,,,108011
"CRA 26 58 36, PALMIRA, VALLE DEL CAUCA",3.5489824529006806,-76.2907014334945,9,3.5498398,-76.2905662,108012
"CRA 26 84 41, MANIZALES, CALDAS",5.043161954741345,-75.47586206738845,9,5.0640117,-75.5048598,108013
"CRA 26 9 45, BUCARAMANGA, SANTANDER",7.138090556565831,-73.12192625039464,9,7.0918392,-73.1096956,108014
"CRA 26 C OE 10 17, CANDELARIA, VALLE DEL CAUCA",3.407380000000046,-76.34880999999996,1,,,108015
"CRA 26 C OESTE 10 28, CANDELARIA, VALLE DEL CAUCA",3.407380000000046,-76.34880999999996,1,,,108016
"CRA 26 D 36 A SUR 30, ENVIGADO, ANTIOQUIA",6.165147257251654,-75.56921269084017,9,,,108017
"CRA 26 D 72C 22, BARRANQUILLA, ATLÁNTICO",10.977630116440064,-74.81210806508939,9,,,108018
"CRA 26 D1 90, CALI, VALLE DEL CAUCA",3.4291499962234653,-76.47341499406538,9,3.4015628,-76.4688321,108019
"CRA 26 G 5 88, CALI, VALLE DEL CAUCA",3.4289129469133126,-76.47655004665384,9,,,108020
"CRA 26 G5 88, CALI, VALLE DEL CAUCA",3.4289129469133126,-76.47655004665384,9,,,108021
"CRA 26 I 1 72, CALI, VALLE DEL CAUCA",3.4616607777595263,-76.51951519388771,9,,,108022
"CRA 26 I 89 48, CALI, VALLE DEL CAUCA",3.4276607064678535,-76.476340053447,9,,,108023
"CRA 26 NUM 18 80, GUADALAJARA DE BUGA, VALLE DEL CAUCA",3.9114824051536985,-76.3068053385316,9,,,108024
"CRA 26 OE 10 29, CANDELARIA, VALLE DEL CAUCA",3.407380000000046,-76.34880999999996,1,,,108025
