0,1,2,3,4,5,6
"CR 10 A 23 11, PAZ DE ARIPORO, CASANARE",5.882742001395011,-71.89359256471835,9.0,,,90000
"CR 10 A 23 55, TIERRALTA, CÓRDOBA",8.1694542705275,-76.06352847342067,9.0,,,90001
"CR 10 A 23F 71, SINCELEJO, SUCRE",9.300363612041577,-75.40705613100022,9.0,,,90002
"CR 10 A 25 88, PALMIRA, VALLE DEL CAUCA",3.5217707343614815,-76.28501021739315,9.0,,,90003
"CR 10 A 27E 103, SINCELEJO, SUCRE",9.292815654284732,-75.40511271908403,9.0,,,90004
"CR 10 A 5 A 17, ZAPATOCA, SANTANDER",6.807090778755499,-73.27446850934987,9.0,,,90005
"CR 10 A 6A 06, SOACHA, CUNDINAMARCA",4.596720543446364,-74.20222684400655,9.0,,,90006
"CR 10 A 7 16, VILLAMARÍA, CALDAS",5.04248255293612,-75.51660904405746,9.0,,,90007
"CR 10 A 7 32, AGUACHICA, CESAR",8.306200999129226,-73.62387807791875,9.0,,,90008
"CR 10 A 76 C 07, SOLEDAD, ATLÁNTICO",10.910453070188566,-74.80977395258654,9.0,,,90009
"CR 10 A ESTE 3A 19, PITALITO, HUILA",1.8402160129396403,-76.04152319847219,9.0,,,90010
"CR 10 A NORTE No 12B 21, MANIZALES, CALDAS",5.095579347912056,-75.54882529677685,9.0,,,90011
"CR 10 A No 1A 57, VILLA DE SAN DIEGO DE UBATÉ, CUNDINAMARCA",5.304388835941527,-73.82379434818516,9.0,,,90012
"CR 10 B 1 38, SOGAMOSO, BOYACÁ",5.705313046298912,-72.93479996319074,9.0,,,90013
"CR 10 B 1 A 16, ROLDANILLO, VALLE DEL CAUCA",4.409083698389565,-76.16027228532793,9.0,,,90014
"CR 10 B 1 No 38, SOGAMOSO, BOYACÁ",5.705313046298912,-72.93479996319074,9.0,,,90015
"CR 10 B 24 28, RIONEGRO, SANTANDER",7.264535984890778,-73.14904313111478,9.0,,,90016
"CR 10 B 30 A 06, SANTA ROSA DE CABAL, RISARALDA",4.862033349320436,-75.61439812682195,9.0,,,90017
"CR 10 B 32 61, SOGAMOSO, BOYACÁ",5.7372035171055105,-72.91530025708784,9.0,,,90018
"CR 10 B 7 01, FUNZA, CUNDINAMARCA",4.71212678502804,-74.21630411852207,9.0,,,90019
