0,1,2,3,4,5
"CL 42 86 85, CALI",3.37815001298587,-76.52026995854465,9,3.3537467,-76.5204872
"CL 42 8A 79, BOGOTÁ, D.C.",4.6296800135773,-74.06646000876393,9,,
"CL 42 8A 80, BOGOTÁ, D.C.",4.629810016895561,-74.06665002650891,9,,
"CL 42 9 08, SOLEDAD",10.903418799657073,-74.78106832579486,9,10.9089022,-74.7803348
"CL 42 9 14, VILLAVICENCIO",4.151088617428295,-73.60583638150274,9,4.1521158,-73.6063297
"CL 42 9 70, BUCARAMANGA",7.11475999425852,-73.1298300219373,9,7.1211027,-73.111827
"CL 42 95 A 15, CALI",3.373310008725767,-76.52016996243977,9,,
"CL 42 95A 15, CALI",3.373310008725767,-76.52016996243977,9,,
"CL 42 A 17 81, GIRARDOT",4.3132460902375644,-74.7873935599001,9,,
"CL 42 A 2 75, FLORENCIA",4.153429998156348,-73.61830998846251,9,1.6345376,-75.6166021
"CL 42 A 21 19, MEDELLÍN",6.233889989663794,-75.54906998553736,9,,
"CL 42 A 24 88, TULUÁ",4.0714744460149115,-76.20272071206755,9,,
"CL 42 A 24 D 21, CALI",3.437254123565581,-76.50205971920484,9,,
"CL 42 A 25 C 32, EL CARMEN DE VIBORAL",6.091910000467628,-75.3375149822503,9,,
"CL 42 A 33 10, TULUÁ",4.071201984729518,-76.20243211274716,9,,
"CL 42 A 40 B 10, MONTERÍA",8.756042641493432,-75.86763654993693,9,,
"CL 42 A 6 W 06, NEIVA",2.95100673425006,-75.3024503129818,9,,
"CL 42 A 8 47, PALERMO",2.956550006268799,-75.30904073132513,9,,
"CL 42 A 85 A 94, RIONEGRO",6.150206099905662,-75.39386953668715,9,,
"CL 42 A 87 44, RIONEGRO",6.150206099905662,-75.39386953668715,9,,
"CL 42 A 87 C 84, RIONEGRO",6.150206099905662,-75.39386953668715,9,,
"CL 42 A 9 34, GIRARDOT",4.3132460902375644,-74.7873935599001,9,,
"CL 42 A 9 74, TUNJA",5.553787881217718,-73.35515831911755,9,,
"CL 42 A BIS SUR 92 40, BOGOTÁ, D.C.",4.641099979468208,-74.17432998967092,9,4.5453223,-74.0835401
"CL 42 A SUR 3 C 84, BOGOTÁ, D.C.",4.548629985446411,-74.09321001455803,9,,
"CL 42 A SUR 87 D 17, BOGOTÁ, D.C.",4.633930015672902,-74.17001004059334,9,,
"CL 42 A SUR 89 F 11, BOGOTÁ, D.C.",4.63843998249547,-74.17255000871259,9,,
"CL 42 A SUR 96 A 17, BOGOTÁ, D.C.",4.644850001039373,-74.17622002501795,9,,
"CL 42 A SUR 99 C 22, BOGOTÁ, D.C.",4.648199996281505,-74.17806002040304,9,,
"CL 42 A SUR No 10 57, BOGOTÁ, D.C.",4.546310000375982,-74.08783998065061,9,,
"CL 42 A TV 26 14, DOSQUEBRADAS",4.841353814293461,-75.6747412260378,9,,
"CL 42 AC 117 20, MEDELLÍN",6.256379799538987,-75.62851958852764,9,,
"CL 42 AC 117 25, MEDELLÍN",6.256357063138362,-75.62863262765086,9,,
"CL 42 AC 117 46, MEDELLÍN",6.256395616980218,-75.62852330890213,9,,
"CL 42 AC 117 51, MEDELLÍN",6.25637255777467,-75.62863627209933,9,,
"CL 42 AC 119 6, MEDELLÍN",6.246588848900994,-75.58588024943803,9,,
"CL 42 AN 10 66, PALMIRA",3.5370132405624335,-76.28314549769776,9,,
"CL 42 AP 402 TV 1, MANIZALES",5.064650000000029,-75.50754999999998,1,,
"CL 42 AP 403 TV1, MANIZALES",5.064650000000029,-75.50754999999998,1,,
"CL 42 AP 602 TR 1, MANIZALES",5.064650000000029,-75.50754999999998,1,,
"CL 42 B 1 31, SOACHA",4.576510053127713,-74.18356230573224,9,4.5932335,-74.1969089
"CL 42 B 1 BIS 80, IBAGUÉ",4.430106659981803,-75.2114558015966,9,,
"CL 42 B 10 04, PALERMO",37.51060998417,13.712880012445567,9,,
"CL 42 B 117 A 25, CHIQUINQUIRÁ",5.616590000000031,-73.81649999999996,1,,
"CL 42 B 117A 7, MEDELLÍN",6.246712126975538,-75.58309032545691,9,6.249209,-75.6010268
"CL 42 B 2 30, SANTA MARTA",11.215430019058019,-74.18949528265433,9,11.2198191,-74.2088088
"CL 42 B 27 A 64, CALI",3.4133378017015956,-76.51784200367152,9,,
"CL 42 B 31 B 54, SANTA MARTA",42.02408999764552,-5.509390004682075,9,,
"CL 42 B 31 C 04, SANTA MARTA",42.592890012354076,-3.963779967261388,9,,
"CL 42 B 33 25, TULUÁ",4.070945391058965,-76.19380139020193,9,,
"CL 42 B 40 B 03, MONTERÍA",8.746672220466154,-75.860486142264,9,,
"CL 42 B 40 B 28, MONTERÍA",8.746672220466154,-75.860486142264,9,,
"CL 42 B 40 B 34, MONTERÍA",8.746672220466154,-75.860486142264,9,,
"CL 42 B 40 B 46, MONTERÍA",8.746672220466154,-75.860486142264,9,,
"CL 42 B 40 B 52, MONTERÍA",8.746672220466154,-75.860486142264,9,,
"CL 42 B 40 B 57, MONTERÍA",8.746672220466154,-75.860486142264,9,,
"CL 42 B 7 65, NEIVA",2.9515899941099732,-75.3016799992424,9,,
"CL 42 B 81 A 08, MEDELLÍN",6.248290015500174,-75.60322001371682,9,6.249209,-75.6010268
"CL 42 B No 16A 29, SINCELEJO",9.283437648140591,-75.38956434032384,9,,
"CL 42 B SUR 11 15, BOGOTÁ, D.C.",4.545580020428446,-74.08728996016424,9,,
"CL 42 B SUR 59 43, MEDELLÍN",6.181940001520303,-75.64077999239824,9,,
"CL 42 B SUR 6 A 58, BOGOTÁ, D.C.",4.547269979746673,-74.09143003359969,9,,
"CL 42 B SUR 62 A 07, MEDELLÍN",6.18241001674086,-75.64323002269641,9,,
"CL 42 B SUR 62 A 31, MEDELLÍN",6.182289987887387,-75.64342004044141,9,,
"CL 42 B SUR 72 H 15, BOGOTÁ, D.C.",4.604659990689086,-74.14721998113544,9,,
"CL 42 B SUR 72 H 89, BOGOTÁ, D.C.",4.6048699992731486,-74.14803000825832,9,,
"CL 42 B SUR 72 H AP 401, BOGOTÁ, D.C.",4.6048171234313156,-74.14746943610082,9,,
"CL 42 B SUR 72H 15, BOGOTÁ, D.C.",4.604659990689086,-74.14721998113544,9,,
"CL 42 B SUR 78 D 52, BOGOTÁ, D.C.",4.614270010317796,-74.16001001100987,9,,
