0,1,2,3,4,5,6
"KR 136A 151B 52, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.745329993192726,-74.12279000232127,9.0,,,125000
"KR 137 132 A 32, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.742849997590696,-74.11540998803238,9.0,,,125001
"KR 137 137 56, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.746260007259551,-74.11403996595836,9.0,,,125002
"KR 137 17 47, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.7217099995919085,-74.04381001090809,9.0,,,125003
"KR 137 A 133 15, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.744989981290416,-74.11481998586785,9.0,,,125004
"KR 137 A 17 D 44, BELLO, ANTIOQUIA",6.340340000000026,-75.55915999999996,2.0,,,125005
"KR 138 17 A 18, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.696319999497533,-74.16973997567302,9.0,,,125006
"KR 138 4 133, CALI, VALLE DEL CAUCA",3.4340200000000323,-76.52644999999995,1.0,,,125007
"KR 138 A 142 C 61, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.7489899931238,-74.11293003433985,9.0,,,125008
"KR 138 B 143 38, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.750280009932013,-74.11239996278304,9.0,,,125009
"KR 139 139 27, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.747340015483715,-74.11455000476658,9.0,,,125010
"KR 13A 1 21, SAN GIL, SANTANDER",6.549635004042479,-73.13806000311769,9.0,,,125011
"KR 13A 10 04, RIOSUCIO, CALDAS",5.4214900000000625,-75.70308999999997,1.0,,,125012
"KR 13A 10 16, RIOSUCIO, CALDAS",5.4214900000000625,-75.70308999999997,1.0,,,125013
"KR 13A 10 22, RIOSUCIO, CALDAS",5.4214900000000625,-75.70308999999997,1.0,,,125014
"KR 13A 10 28, RIOSUCIO, CALDAS",5.4214900000000625,-75.70308999999997,1.0,,,125015
"KR 13A 10 34, RIOSUCIO, CALDAS",5.4214900000000625,-75.70308999999997,1.0,,,125016
"KR 13A 10 40, RIOSUCIO, CALDAS",5.4214900000000625,-75.70308999999997,1.0,,,125017
"KR 13A 10 52, RIOSUCIO, CALDAS",5.4214900000000625,-75.70308999999997,1.0,,,125018
