0,1,2,3,4,5
"CL 83 22A 18, BOGOTÁ, D.C.",4.670990013829893,-74.06235002636087,9.0,4.6709051,-74.0621263
"CL 83 22A 43, BOGOTÁ, D.C.",4.670919983028867,-74.06262998192693,9.0,4.6709051,-74.0621263
"CL 83 22A 69, BOGOTÁ, D.C.",4.670960006616525,-74.06285998135007,9.0,4.6709051,-74.0621263
"CL 83 24F 07, CALI",3.4347412295535835,-76.47122852690856,9.0,,
"CL 83 25 20, PEREIRA",4.758295208184513,-75.89903824947417,9.0,4.8030178,-75.7471531
"CL 83 2A SUR 35, IBAGUÉ",4.433409242382839,-75.18662526959231,9.0,,
"CL 83 41E 194, BARRANQUILLA",10.988652141201486,-74.82635313519864,9.0,10.9749032,-74.8245006
"CL 83 42C 85, BARRANQUILLA",10.993204806463305,-74.82290033590557,9.0,,
"CL 83 42D 123, BARRANQUILLA",10.99411689244904,-74.8209644886273,9.0,10.9749032,-74.8245006
"CL 83 42D 149, BARRANQUILLA",10.994213170363208,-74.82080778683765,9.0,,
"CL 83 42D 194, BARRANQUILLA",10.994316585226048,-74.8204688585691,9.0,,
"CL 83 42D 94, BARRANQUILLA",10.99391278017955,-74.82109567173578,9.0,,
"CL 83 42E 37, BARRANQUILLA",10.995088020028675,-74.81957592203489,9.0,,
"CL 83 5 57, BOGOTÁ, D.C.",4.568100014966028,-74.17189999212134,9.0,4.6709051,-74.0621263
"CL 83 52 D 23, ITAGÜÍ",6.19073607073686,-75.59407137434643,9.0,6.1896877,-75.5925713
"CL 83 52D 48, ITAGÜÍ",6.190892210578177,-75.59424119139356,9.0,,
"CL 83 52D 63, MEDELLÍN",6.276938472197538,-75.56444679647531,9.0,,
"CL 83 58 19, CHIQUINQUIRÁ",5.616590000000031,-73.81649999999996,1.0,,
"CL 83 58 19, ITAGÜÍ",6.193269720095971,-75.59916449583822,9.0,6.1896877,-75.5925713
"CL 83 58 19, MEDELLÍN",6.27742196132602,-75.5660667855448,9.0,6.2826974,-75.5790577
