0,1,2,3,4,5
"LT AV 10 E 7 34, SAN JOSÉ DE CÚCUTA",7.892128842888795,-72.48996997763535,9.0,,
"LT AV 127 7 71, BOGOTÁ, D.C.",4.710111840143194,-74.08011252970152,9.0,,
"LT AV 17 72 75, BOGOTÁ, D.C.",4.601539994870095,-74.06771000198448,9.0,,
"LT AV 18 E N 7 N 75, SAN JOSÉ DE CÚCUTA",7.9430053226252735,-72.50796827778817,9.0,,
"LT AV 19 22 NTE 124, ARMENIA",40.293084855000075,44.94022131100007,1.0,,
"LT AV 26 DG 52, BELLO",41.56911999991587,12.62407003558431,9.0,,
"LT AV 3 36 86, BOGOTÁ, D.C.",4.614960000000053,-74.06940999999995,1.0,,
"LT AV 6 68 05, BOGOTÁ, D.C.",4.614960000000053,-74.06940999999995,1.0,,
"LT AV CIR 38 Y 46, BARRANQUILLA",19.481180007327893,-99.26438996534068,9.0,,
"LT AV CIR CARRERAS 38 Y 46, BARRANQUILLA",10.962513118258418,-74.88286300654828,9.0,,
"LT AV CIR ENTRE CARRERA 38 46, BARRANQUILLA",10.986219982610187,-74.78014499171644,9.0,,
"LT AV CR 15 1 SUR 07, ZIPAQUIRÁ",5.01411995313866,-74.00266753892302,9.0,,
"LT AV CR 17 82 36, BOGOTÁ, D.C.",4.65870363594602,-74.13402676317246,9.0,,
"LT AV EL PROGRESO 9 03, TUNJA",5.511188842689607,-73.36814015256093,9.0,,
"LT AV SIMON BOLIVAR 16 38 LC 201, DOSQUEBRADAS",4.823990769633144,-75.68325246733143,9.0,,
"LT AV UNIVERSITARIA 42 A 30, TUNJA",5.5489680242643455,-73.34635451145152,9.0,,
"LT AVD 17 72 82, BOGOTÁ, D.C.",4.601539994870095,-74.06771000198448,9.0,,
"LT AVD 6 68 05, BOGOTÁ, D.C.",4.614960000000053,-74.06940999999995,1.0,,
"LT AVD 8 N 86 65, BOGOTÁ, D.C.",4.614960000000053,-74.06940999999995,1.0,,
"LT B 110, MOSQUERA",4.7129900000000475,-74.23847999999998,2.0,,
"LT B AV 10E CL 3N 3, TOCANCIPÁ",4.96470000000005,-73.91221999999993,3.0,,
"LT B C6 11 56, CARTAGENA DE INDIAS",10.425050000000056,-75.53836999999999,1.0,,
"LT B MANZANA D CL73B 35C 03, DOSQUEBRADAS",4.842446716520556,-75.67256045980994,9.0,,
"LT B1 MZ 8 CS 1, VILLAVICENCIO",-32.52578999999997,-69.01241999999996,7.0,,
"LT B17 CASA 33, LOS PATIOS",7.8342700000000605,-72.50638999999995,1.0,,
"LT B18 CS35 33, LOS PATIOS",7.8342700000000605,-72.50638999999995,1.0,,
"LT BRISAS ST ANVIAL T4 AP303, SAN JOSÉ DE CÚCUTA",7.911220000000071,-72.50370999999996,1.0,,
"LT C 41 ET 3, GIRARDOT",4.313659674687458,-74.7902754127001,9.0,,
"LT C FINCA JASMINE AP 107, ANAPOIMA",4.570230000000038,-74.52708999999999,2.0,,
"LT CA 2 PLANTAS KR2 67, CARTAGENA DE INDIAS",10.425050000000056,-75.53836999999999,1.0,,
"LT CA 39 Y 48 CR 18, TULUÁ",4.086318617398439,-76.20363303243734,9.0,,
"LT CA 5 M 4 L 5, JUAN DE ACOSTA",10.829630000000066,-75.03403999999995,1.0,,
"LT CALLE 130 5 123, IBAGUÉ",4.446753568552943,-75.15499829290744,9.0,,
"LT CALLE 1A 51 A 12, POPAYÁN",2.4618550052223043,-76.6450799753168,9.0,,
"LT CALLE 47 63 125, COPACABANA",6.339969333908336,-75.51848255568892,9.0,,
"LT CALLE 80 25 18, VALLEDUPAR",10.464780000000076,-73.26060999999999,1.0,,
"LT CAMINO VALDERRAMA 7 79, TULUÁ",4.085990000000038,-76.19633999999996,1.0,,
"LT CARRERA 14 97 47, IBAGUÉ",4.447501355767665,-75.17708538780519,9.0,,
"LT CARRERA 24 11 121, MELGAR",4.204717947152553,-74.6420522505999,9.0,,
"LT CARRERA 5 SUR 88 97, IBAGUÉ",4.432725531494133,-75.18086716526086,9.0,,
"LT CJ RES BGNVLES UN P25 TP8, CHÍA",,,,,
"LT CL 10 12 11, RICAURTE",4.299316542402984,-74.7918995160938,9.0,,
"LT CL 10 N 15 40, LA CEJA",6.0225348693118965,-75.43053696637132,9.0,,
"LT CL 100 B 42 F 61, BARRANQUILLA",10.99841569945719,-74.84048101536466,9.0,,
"LT CL 11 LT 1, VILLA DEL ROSARIO",7.828277789874046,-72.47501332123679,9.0,,
"LT CL 110 43 508, BARRANQUILLA",10.985847651108402,-74.83627678731969,9.0,,
"LT CL 118 18 B 09, BOGOTÁ, D.C.",4.699176314791054,-74.04858394057112,9.0,,
"LT CL 12 29 61, BOGOTÁ, D.C.",4.612009997764602,-74.09314002566651,9.0,,
"LT CL 12 6 ESTE 46, MOSQUERA",4.692707354947721,-74.18163724066751,9.0,,
"LT CL 120 N 42 B 112, BARRANQUILLA",10.992811794807865,-74.85007359796577,9.0,,
"LT CL 128 88 B 10, BOGOTÁ, D.C.",4.719330000094757,-74.0887299711298,9.0,,
"LT CL 13 3 24, ESPINAL",4.151519268612751,-74.88864167423903,9.0,,
"LT CL 13 38 54, BOGOTÁ, D.C.",4.620419980315688,-74.09843998686338,9.0,,
"LT CL 13 A 18 H 19, SOACHA",4.59003183476223,-74.22005522209317,9.0,,
"LT CL 14 30 247, CARTAGENA DE INDIAS",10.421746485045151,-75.5402771341296,9.0,10.5334629,-75.3996002
"LT CL 14 49 20, CALI",3.4080027172987992,-76.53016148212966,9.0,,
"LT CL 145 A 17 72, BOGOTÁ, D.C.",4.727596764875374,-74.0447214249133,9.0,,
"LT CL 148 CR 21 90, IBAGUÉ",4.399653544827469,-75.14314191801684,9.0,,
"LT CL 15 15 A 15, CANDELARIA",10.459107059182402,-74.88182165656639,9.0,,
"LT CL 15 SUR 26 57, BOGOTÁ, D.C.",4.592540010154494,-74.1052800389497,9.0,,
"LT CL 153 108 50, BOGOTÁ, D.C.",4.75599704587106,-74.09436719148866,9.0,,
"LT CL 153 54 99, BOGOTÁ, D.C.",4.739810007037505,-74.05729003905192,9.0,,
"LT CL 153 73 35, BOGOTÁ, D.C.",4.736712074458478,-74.04355481116937,9.0,,
"LT CL 16 A 0 35, BOGOTÁ, D.C.",4.518344486405809,-74.12293305792444,9.0,,
"LT CL 167 D 8 53, BOGOTÁ, D.C.",4.745019988503785,-74.02642996703574,9.0,,
"LT CL 17 12 11, RICAURTE",4.433039999302956,-75.24484000878634,9.0,,
"LT CL 17 72 82, BOGOTÁ, D.C.",4.653359979695338,-74.12997999886515,9.0,,
"LT CL 17 CRA 17, CANDELARIA",10.459839678207205,-74.87968114104943,9.0,,
"LT CL 17 D BIS 123 A 05, BOGOTÁ, D.C.",4.688869996317138,-74.15804001230656,9.0,,
"LT CL 18 4 NTE 201, IPIALES",0.8352015446737228,-77.64005848006585,9.0,,
"LT CL 18 SUR 27 39, BOGOTÁ, D.C.",4.591230002507203,-74.10768002928592,9.0,,
"LT CL 2 A CR 24, JAMUNDÍ",3.259402702770289,-76.555107544938,9.0,,
"LT CL 20 18 24, CARTAGENA DE INDIAS",10.45645000667146,-75.50517500634547,9.0,,
"LT CL 21 28, MADRID",40.07374744846163,-3.1255796391376505,9.0,,
"LT CL 24 7 42, BOGOTÁ, D.C.",4.610330012911149,-74.07060997284512,9.0,,
"LT CL 24 F 94 51, BOGOTÁ, D.C.",4.676440011093604,-74.12436999106983,9.0,,
"LT CL 25 N CR 2, POPAYÁN",2.455572386101,-76.5909620898133,9.0,,
"LT CL 27 6 02, ZIPAQUIRÁ",5.0384467265357165,-73.9957664785006,9.0,,
"LT CL 28 A 2 54, SAN JOSÉ DE CÚCUTA",7.878730005062522,-72.47519998926447,9.0,,
"LT CL 30 CR 120, CALI",37.93589092923082,-119.24876216119891,9.0,,
"LT CL 30 N 7 LT 1, SOLEDAD",-10.881948171413711,-37.08890723762729,9.0,,
"LT CL 31 SUR 9 03, BOGOTÁ, D.C.",4.567955513606111,-74.10028783835483,9.0,,
"LT CL 33 A 13 85, BOGOTÁ, D.C.",4.621920005707963,-74.06938998683793,9.0,,
"LT CL 39 52 85, BELLO",6.325444994180202,-75.57042502126211,9.0,,
"LT CL 4 B 34 A 85, BOGOTÁ, D.C.",4.609039996102936,-74.1043300340438,9.0,,
"LT CL 4 C 7 40, SOACHA",4.568132889160374,-74.22760233970484,9.0,,
"LT CL 42 N 50 B 32, BARRANQUILLA",10.990096333391657,-74.7817786033208,9.0,,
"LT CL 48 SUR 4 90, BOGOTÁ, D.C.",4.541848249420188,-74.09634509003446,9.0,,
"LT CL 53 44 132, BARRANQUILLA",10.986662453858226,-74.79001142924533,9.0,,
"LT CL 57 R BIS SUR N 73 B 73, BOGOTÁ, D.C.",4.595807281402663,-74.1743906518838,9.0,,
"LT CL 6 OESTE 35 A 45, CALI",3.4347159083195193,-76.5479007492876,9.0,,
"LT CL 61 SUR 39 70, SABANETA",6.154558757732638,-75.60848705657209,9.0,,
"LT CL 65 A 126 20, BOGOTÁ, D.C.",4.717700013293751,-74.14209997939975,9.0,,
"LT CL 66 N 66 B 05, BARRANQUILLA",11.002533632512673,-74.78995113386769,9.0,,
"LT CL 7 25 0, MADRID",40.359008337891964,-3.256118752345268,9.0,,
"LT CL 7 N 25 95, MADRID",40.359008337891964,-3.256118752345268,9.0,,
"LT CL 70 A 5 44, BOGOTÁ, D.C.",4.653070007754991,-74.05491997211004,9.0,,
"LT CL 71 NORTE AV 2, CALI",3.4907399902542764,-76.50624996819825,9.0,,
"LT CL 78 C 130 55, BOGOTÁ, D.C.",4.725469995627861,-74.13720000262242,9.0,,
"LT CL 8 CON CR 23, JAMUNDÍ",3.2702100012778317,-76.53555000039542,9.0,,
"LT CL 8 SUR 8 52, NEMOCÓN",5.06789477932216,-73.88686496610129,9.0,,
"LT CL 84 A 7 31, BOGOTÁ, D.C.",4.664244284999477,-74.04802889519021,9.0,,
"LT CL 9 CR 117, CALI",3.350195003836511,-76.54422003149251,9.0,,
"LT CL 9 SUR 36 115, VILLAVICENCIO",4.113372237493184,-73.61386488344621,9.0,,
"LT CL 95 13 A 49, IBAGUÉ",4.447280435855054,-75.17876506859176,9.0,,
"LT CL 99 B 64 25, BARRANQUILLA",10.945984473639696,-74.83050892008617,9.0,,
"LT CLL 10 5 78, CAJICÁ",4.921537293410435,-74.03014128090307,9.0,,
"LT CLL 10 15 40, LA CEJA",6.0225348693118965,-75.43053696637132,9.0,,
"LT CLL 117 18 64, IBAGUÉ",4.441184987985146,-75.16330001650532,9.0,,
"LT CLL 15 3 45, DOSQUEBRADAS",4.826272398300433,-75.68774880599122,9.0,,
"LT CLL 153 22 40, PEREIRA",-19.778429996119087,-43.973049998270824,9.0,,
