0,1,2,3,4,5
"CL 25A 27 47, MANIZALES",5.0643024088300255,-75.51530967423143,9,5.0637426,-75.5153319
"CL 25A 30 21, FLORENCIA",1.6234949657935764,-75.61469525261921,9,1.6205791,-75.6317968
"CL 25A 34B 71, NEIVA",5.445095752041635,-75.64920240843665,9,,
"CL 25A 34BIS 49, NEIVA",2.9029550624120937,-75.265168000982,9,,
"CL 25A 36 68, NEIVA",2.903836927542133,-75.26326705514937,9,2.9467046,-75.2631672
"CL 25A 36 A 60, NEIVA",2.9038211828951317,-75.26330812664472,9,,
"CL 25A 36A 60, NEIVA",2.9038211828951317,-75.26330812664472,9,,
"CL 25A 37 23, BOGOTÁ, D.C.",4.630650009322281,-74.08763998844086,9,4.629077,-74.0865375
"CL 25A 38 42, TULUÁ",4.083908074929852,-76.18748246410122,9,4.0926963,-76.2104075
"CL 25A 41 103, SINCELEJO",9.309271460698074,-75.37842129143863,9,9.3028637,-75.3836483
"CL 25A 45 48, NEIVA",2.9463700172241687,-75.25406999292507,9,2.9467046,-75.2631672
"CL 25A 5 80, IPIALES",0.8260350072877642,-77.65153000021891,9,,
"CL 25A 52 26, RIONEGRO",6.13081233278695,-75.37774680110037,9,6.1304024,-75.3776126
"CL 25A 52 54, RIONEGRO",6.13081233278695,-75.37774680110037,9,6.1304024,-75.3776126
"CL 25A 56A 69, RIONEGRO",6.151423556592178,-75.36185637198166,9,,
"CL 25A 58BB 63, BELLO",6.315047311545718,-75.56483270032861,9,,
"CL 25A 6 29, VALLEDUPAR",10.460243209291015,-73.2403492905427,9,10.4602312,-73.2405806
"CL 25A 6B 40, VALLEDUPAR",10.460053505156248,-73.24166658873956,9,10.4602312,-73.2405806
"CL 25A 71 75, BOGOTÁ, D.C.",4.662090976199655,-74.06901196227174,9,4.629077,-74.0865375
"CL 25A 72 17, FUSAGASUGÁ",4.326760000000036,-74.40867999999995,1,4.3248962,-74.36545
"CL 25A BIS 7 47, VALLEDUPAR",10.460168820026217,-73.24091403878015,9,,
"CL 25A N 55 04, SINCELEJO",9.316165813938987,-75.37190433438685,9,,
"CL 25A S 42B 61, ENVIGADO",6.17965558334522,-75.58008805090729,9,,
"CL 25A SUR 42B 61, ENVIGADO",6.17965558334522,-75.58008805090729,9,6.1832554,-75.5837783
"CL 25B 70B 50, BOGOTÁ, D.C.",4.6628881933929085,-74.11236721732888,9,,
