0,1,2,3,4,5,6
"KR 1 E 59 175, CALI, VALLE DEL CAUCA",3.472985527167183,-76.49595292406165,9,,,120000
"KR 1 E 67 A 60, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.530400779923817,-74.11295975209948,9,,,120001
"KR 1 E 67A 60, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.49226501148265,-74.11781956552929,9,,,120002
"KR 1 E 67A 60, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.49226501148265,-74.11781956552929,9,,,120003
"KR 1 E 70 47, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.6501399877714675,-74.0512500396237,9,,,120004
"KR 1 E 74 62, TUNJA, BOYACÁ",5.5044174042552285,-73.363348859062,9,,,120005
"KR 1 E 78 13, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.658067463548193,-74.04725524749506,9,,,120006
"KR 1 E Y 2 E 12, VILLA DEL ROSARIO, NORTE DE SANTANDER",7.828785312165717,-72.46178977778828,9,,,120007
"KR 1 ES 17 04, PITALITO, HUILA",1.8441636950346518,-76.0636000137897,9,,,120008
"KR 1 ES 18 40, PITALITO, HUILA",1.8442781539063096,-76.06359412729782,9,,,120009
"KR 1 ES 20 09, MADRID, CUNDINAMARCA",4.725103918802376,-74.2612134802371,9,,,120010
"KR 1 ES 24 77, MADRID, CUNDINAMARCA",4.725107366780394,-74.26122899975242,9,,,120011
"KR 1 ES 3 51, MOSQUERA, CUNDINAMARCA",4.70436278498294,-74.22790384748845,9,,,120012
"KR 1 ES 33 56, TUNJA, BOYACÁ",5.504452434934081,-73.36348884992435,9,,,120013
"KR 1 ES 4 65, MOSQUERA, CUNDINAMARCA",4.7050991511799305,-74.22740663071173,9,,,120014
"KR 1 ES 48 26, TUNJA, BOYACÁ",5.504382679851795,-73.36339227184298,9,,,120015
"KR 1 ES 5 69, MOSQUERA, CUNDINAMARCA",4.705554007399603,-74.22709967388845,9,,,120016
"KR 1 ES 67 A 60, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120017
"KR 1 ES 67A 66, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120018
"KR 1 ES 70A 21, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.650540014100514,-74.05074000081548,9,,,120019
"KR 1 ES 70A 75, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.650829986040861,-74.05037002360932,9,,,120020
"KR 1 ES 72A 01, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.6528273151389135,-74.04975254352259,9,,,120021
"KR 1 ES 72A 25, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.653008413895824,-74.0495185720681,9,,,120022
"KR 1 ES 72A 52, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.653856651388299,-74.05075829876574,9,,,120023
"KR 1 ES 74 14, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.654614765138848,-74.04945264530794,9,,,120024
"KR 1 ES 74 43, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.654605696726882,-74.04914039870104,9,,,120025
"KR 1 ES 74 64, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.654784495111968,-74.04906992246029,9,,,120026
"KR 1 ES 76 14, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.655760647640322,-74.04844645295542,9,,,120027
"KR 1 ES 76A 08, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.6560705048880795,-74.04830092565595,9,,,120028
"KR 1 ES 77 81, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.657589764398348,-74.04744762843612,9,,,120029
"KR 1 ES 78 98, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.659180045230068,-74.04719401244455,9,,,120030
"KR 1 ES 79 10, TUNJA, BOYACÁ",5.504512616631713,-73.36341361019089,9,,,120031
"KR 1 ES 8 35, FUSAGASUGÁ, CUNDINAMARCA",4.342176876687231,-74.35731903150734,9,,,120032
"KR 1 ES 84B 91, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496168662847159,-74.11739788578781,9,,,120033
"KR 1 ES 84C 42, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496168662847159,-74.11739788578781,9,,,120034
"KR 1 ESTE 2 57, MOSQUERA, CUNDINAMARCA",4.693091369211911,-74.1969531365611,9,,,120035
"KR 1 ESTE 20 15, MADRID, CUNDINAMARCA",4.725103918802376,-74.2612134802371,9,,,120036
"KR 1 ESTE 20 30, SOACHA, CUNDINAMARCA",4.579616375236987,-74.21159875826119,9,,,120037
"KR 1 ESTE 24 77, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.566830760878409,-74.08881745651325,9,,,120038
"KR 1 ESTE 24 77, MADRID, CUNDINAMARCA",4.725107366780394,-74.26122899975242,9,,,120039
"KR 1 ESTE 24 77, MOSQUERA, CUNDINAMARCA",4.704776552954762,-74.227557288485,9,,,120040
"KR 1 ESTE 29 54, SOACHA, CUNDINAMARCA",4.579698363641262,-74.21167907940813,9,,,120041
"KR 1 ESTE 3 51, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.588069417300892,-74.07370061035012,9,,,120042
"KR 1 ESTE 31F 76, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.559939980767638,-74.09406002335905,9,,,120043
"KR 1 ESTE 32 B 32, SOACHA, CUNDINAMARCA",4.579619099334959,-74.21159590423717,9,,,120044
"KR 1 ESTE 34 14, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.559471233426025,-74.09421764320902,9,,,120045
"KR 1 ESTE 4 A 28, MAICAO, LA GUAJIRA",11.384884985808696,-72.226415002824,9,,,120046
"KR 1 ESTE 42 42, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.549429996194988,-74.09905002177649,9,,,120047
"KR 1 ESTE 65 51, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120048
"KR 1 ESTE 67 A 60, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120049
"KR 1 ESTE 67 A 66, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120050
"KR 1 ESTE 67A 03, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120051
"KR 1 ESTE 67A 60, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120052
"KR 1 ESTE 67A 66, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120053
"KR 1 ESTE 67A 85, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120054
"KR 1 ESTE 67A SUR 40, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.496181354335528,-74.11751212375044,9,,,120055
"KR 1 ESTE 70A 21, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.650540014100514,-74.05074000081548,9,,,120056
