0,1,2,3,4,5,6
"CRA10 148 36, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.726699998009352,-74.03277003859765,9.0,,,112000
"CRA10 52 149, DOSQUEBRADAS, RISARALDA",4.84242085977249,-75.67022119501044,9.0,,,112001
"CRA100 50B 45, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.643669996710344,-74.18800003555975,9.0,,,112002
"CRA109A 150 79, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.751729995362339,-74.09729996421248,9.0,,,112003
"CRA11 11 239, RICAURTE, CUNDINAMARCA",4.289875805105087,-74.77551522558804,9.0,,,112004
"CRA11 11 61, RICAURTE, CUNDINAMARCA",4.289875805105087,-74.77551522558804,9.0,,,112005
"CRA11 12 63, RICAURTE, CUNDINAMARCA",4.289875805105087,-74.77551522558804,9.0,,,112006
"CRA112 CL 109B Y CL 109, APARTADÓ, ANTIOQUIA",7.887304838794773,-76.62529302410927,9.0,,,112007
"CRA114 C 147 A 17, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.751669980935603,-74.10276001976,9.0,,,112008
"CRA116 18 10, CALI, VALLE DEL CAUCA",3.3560788219532034,-76.55674161396604,9.0,,,112009
"CRA119A 60B 75, CALI, VALLE DEL CAUCA",3.4340200000000323,-76.52644999999995,1.0,,,112010
"CRA11A 114A 64, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.694419989685727,-74.0380900325431,9.0,,,112011
"CRA12 72 167, SOLEDAD, ATLÁNTICO",10.903662152182903,-74.80834529210618,9.0,,,112012
"CRA12 A 24 48, CANDELARIA, VALLE DEL CAUCA",3.410482689639365,-76.35082105326462,9.0,,,112013
"CRA120A 78B 21, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.724939013905503,-74.13275890813789,9.0,,,112014
"CRA12A 20 17, CANDELARIA, VALLE DEL CAUCA",3.407380000000046,-76.34880999999996,1.0,,,112015
"CRA12A 20 25, CANDELARIA, VALLE DEL CAUCA",3.410482689639365,-76.35082105326462,9.0,,,112016
"CRA12A 21A 45, CANDELARIA, VALLE DEL CAUCA",3.407380000000046,-76.34880999999996,1.0,,,112017
"CRA12B 16B 40, SINCELEJO, SUCRE",9.305194419404561,-75.40381388325201,9.0,,,112018
"CRA12G 73 34, SOLEDAD, ATLÁNTICO",10.906700000000058,-74.79406999999998,4.0,,,112019
"CRA13 16 30, FACATATIVÁ, CUNDINAMARCA",4.82676591080457,-74.35675982684742,9.0,,,112020
"CRA13 200 127, BUCARAMANGA, SANTANDER",7.103390126541512,-73.12415987855442,9.0,,,112021
"CRA13 BIS 122 60, PEREIRA, RISARALDA",4.810021809559831,-75.70232746484926,9.0,,,112022
"CRA14 11 30, OCAÑA, NORTE DE SANTANDER",8.236467518776811,-73.35271473544574,9.0,,,112023
"CRA14 48 13, CARTAGENA DE INDIAS, BOLÍVAR",10.433369996227967,-75.53317999259251,9.0,,,112024
"CRA15 2N 18, ARMENIA, QUINDÍO",4.538332102122287,-75.66797600205824,9.0,,,112025
"CRA15 N173 25, BOGOTÁ, D.C., BOGOTÁ, D.C.",4.491985699367115,-74.12012870843374,9.0,,,112026
"CRA15A 153 195, PEREIRA, RISARALDA",4.805060000000026,-75.69369999999998,1.0,,,112027
"CRA16 15 29, VILLAVICENCIO, META",4.118659003069427,-73.58923610346336,9.0,,,112028
"CRA16A 9 61, DOSQUEBRADAS, RISARALDA",4.820771578632786,-75.6832018150972,9.0,,,112029
"CRA17 14 28, ARAUCA, ARAUCA",7.080792402000634,-70.75473541543437,9.0,,,112030
"CRA17 64A 106, MANIZALES, CALDAS",5.052481595659982,-75.47872206209337,9.0,,,112031
"CRA17 64A 236, MANIZALES, CALDAS",5.052481595659982,-75.47872206209337,9.0,,,112032
"CRA17 70B 01, CARTAGENA DE INDIAS, BOLÍVAR",10.437450519965795,-75.51748476151253,9.0,,,112033
"CRA17B 71A 05, MANIZALES, CALDAS",5.053587195811574,-75.47946658430358,9.0,,,112034
"CRA17C CL70 , MANIZALES, CALDAS",5.05323707794327,-75.48186293218014,9.0,,,112035
"CRA18 CL49 49, MANIZALES, CALDAS",5.0524107578529085,-75.47973247989036,9.0,,,112036
"CRA19 AV 17 41, SAN GIL, SANTANDER",6.549163995611604,-73.13632592043942,9.0,,,112037
"CRA19 ESTE 22A 05, VILLAVICENCIO, META",4.115210759993848,-73.5844483250729,9.0,,,112038
"CRA19 N4 29, SAN ANDRÉS, ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",12.583170000000052,-81.70635999999996,4.0,,,112039
